"Districtname","Currentstate","Nextstate","Changestate","Samestate","Timestep","RunIndex","Region","tick","run"
"Solan","I","I",0.0,1.0,17,1,10,16.0,1
"Kangra","I","I",0.0,1.0,18,1,3,17.0,1
"Hamirpur","I","I",0.22903499482876777,0.7709650051712323,18,1,2,17.0,1
"Mandi","I","I",0.10989361289234606,0.890106387107654,18,1,7,17.0,1
"Chamba","S","I",0.9209328521253364,0.07906714787466354,18,1,1,17.0,1
"Una","I","I",0.0,1.0,18,1,11,17.0,1
"Sirmaur","I","I",0.2676396850776744,0.7323603149223256,18,1,9,17.0,1
"Kullu","I","I",0.14706835795552356,0.8529316420444764,18,1,5,17.0,1
"Shimla","I","I",0.1216496187823608,0.8783503812176392,18,1,8,17.0,1
"Bilaspur","S","I",0.9251147684654466,0.07488523153455343,18,1,0,17.0,1
"Kinnaur","R","R",NaN,NaN,18,1,4,17.0,1
"Lahul-Spiti","R","S",1.0,0.0,18,1,6,17.0,1
"Solan","I","I",0.1172722737652685,0.8827277262347315,18,1,10,17.0,1
"Kangra","I","I",0.0,1.0,19,1,3,18.0,1
"Hamirpur","I","R",0.1673462545568758,0.8326537454431242,19,1,2,18.0,1
"Mandi","I","I",0.0977359981066013,0.9022640018933987,19,1,7,18.0,1
"Chamba","I","I",0.0,1.0,19,1,1,18.0,1
"Una","I","I",0.0,1.0,19,1,11,18.0,1
"Sirmaur","I","I",0.2078163585922815,0.7921836414077186,19,1,9,18.0,1
"Kullu","I","R",0.12959488885613873,0.8704051111438612,19,1,5,18.0,1
"Shimla","I","R",0.10362191690895954,0.8963780830910404,19,1,8,18.0,1
"Bilaspur","I","I",0.0215572360009278,0.9784427639990723,19,1,0,18.0,1
"Kinnaur","R","R",NaN,NaN,19,1,4,18.0,1
"Lahul-Spiti","R","R",NaN,NaN,19,1,6,18.0,1
"Solan","I","I",0.10215937313620013,0.8978406268637998,19,1,10,18.0,1
"Kangra","I","I",0.0,1.0,20,1,3,19.0,1
"Hamirpur","I","I",0.20437646202174015,0.7956235379782598,20,1,2,19.0,1
"Mandi","I","I",0.10773202314444386,0.8922679768555561,20,1,7,19.0,1
"Chamba","I","R",0.10841708404708704,0.891582915952913,20,1,1,19.0,1
"Una","I","I",0.16819948955960445,0.8318005104403955,20,1,11,19.0,1
"Sirmaur","I","I",0.21811444211615014,0.78188555788385,20,1,9,19.0,1
"Kullu","I","I",0.13215562716096843,0.8678443728390315,20,1,5,19.0,1
"Shimla","I","I",0.09643970853103505,0.903560291468965,20,1,8,19.0,1
"Bilaspur","R","R",0.0,1.0,20,1,0,19.0,1
"Kinnaur","R","R",NaN,NaN,20,1,4,19.0,1
"Lahul-Spiti","R","R",0.0,1.0,20,1,6,19.0,1
"Solan","I","I",0.11610690815258937,0.8838930918474107,20,1,10,19.0,1
"Kangra","I","R",1.0,0.0,21,1,3,20.0,1
"Hamirpur","R","R",0.0,1.0,21,1,2,20.0,1
"Mandi","I","R",0.28587553212324773,0.7141244678767523,21,1,7,20.0,1
"Chamba","I","I",0.08849742015998266,0.9115025798400173,21,1,1,20.0,1
"Una","I","R",1.0,0.0,21,1,11,20.0,1
"Sirmaur","R","R",0.0,1.0,21,1,9,20.0,1
"Kullu","I","R",0.24939593451061726,0.7506040654893827,21,1,5,20.0,1
"Shimla","I","I",0.32441746334025545,0.6755825366597447,21,1,8,20.0,1
"Bilaspur","R","R",0.0,1.0,21,1,0,20.0,1
"Kinnaur","R","R",NaN,NaN,21,1,4,20.0,1
"Lahul-Spiti","R","R",0.0,1.0,21,1,6,20.0,1
"Solan","I","I",0.3843567960529397,0.6156432039470603,21,1,10,20.0,1
"Kangra","I","I",NaN,NaN,22,1,3,21.0,1
"Hamirpur","S","I",1.0,0.0,22,1,2,21.0,1
"Mandi","I","R",0.449925671082267,0.5500743289177329,22,1,7,21.0,1
"Chamba","I","R",0.42941633234527266,0.5705836676547275,22,1,1,21.0,1
"Una","I","R",1.0,0.0,22,1,11,21.0,1
"Sirmaur","S","I",1.0,0.0,22,1,9,21.0,1
"Kullu","R","R",0.4008997219839689,0.599100278016031,22,1,5,21.0,1
"Shimla","I","I",0.4530270553956012,0.5469729446043988,22,1,8,21.0,1
"Bilaspur","R","R",0.25017333454089646,0.7498266654591036,22,1,0,21.0,1
"Kinnaur","R","R",NaN,NaN,22,1,4,21.0,1
"Lahul-Spiti","R","R",0.4441518924479045,0.5558481075520956,22,1,6,21.0,1
"Solan","I","I",0.5529684900975419,0.4470315099024581,22,1,10,21.0,1
"Kangra","I","I",NaN,NaN,23,1,3,22.0,1
"Hamirpur","S","I",1.0,0.0,23,1,2,22.0,1
"Mandi","I","I",0.38787012188565834,0.6121298781143416,23,1,7,22.0,1
"Chamba","I","I",0.36403235314284377,0.6359676468571563,23,1,1,22.0,1
"Una","I","R",1.0,0.0,23,1,11,22.0,1
"Sirmaur","I","I",0.24582465020712066,0.7541753497928794,23,1,9,22.0,1
"Kullu","R","R",0.0,1.0,23,1,5,22.0,1
"Shimla","I","R",0.39798367743137025,0.6020163225686297,23,1,8,22.0,1
"Bilaspur","R","R",0.17655478722228443,0.8234452127777157,23,1,0,22.0,1
"Kinnaur","R","R",NaN,NaN,23,1,4,22.0,1
"Lahul-Spiti","R","R",0.3344234971756951,0.6655765028243049,23,1,6,22.0,1
"Solan","I","I",0.45945157290219757,0.5405484270978025,23,1,10,22.0,1
"Kangra","I","I",0.0,1.0,24,1,3,23.0,1
"Hamirpur","I","R",0.31053912854191823,0.6894608714580818,24,1,2,23.0,1
"Mandi","I","I",0.26235838896328956,0.7376416110367106,24,1,7,23.0,1
"Chamba","I","R",0.1459495380098821,0.8540504619901179,24,1,1,23.0,1
"Una","R","R",0.0,1.0,24,1,11,23.0,1
"Sirmaur","I","I",0.272823260348064,0.7271767396519361,24,1,9,23.0,1
"Kullu","R","S",0.8796777707659399,0.12032222923406016,24,1,5,23.0,1
"Shimla","I","I",0.2757775372416982,0.7242224627583019,24,1,8,23.0,1
"Bilaspur","R","S",0.820661306340755,0.17933869365924507,24,1,0,23.0,1
"Kinnaur","R","R",NaN,NaN,24,1,4,23.0,1
"Lahul-Spiti","S","I",1.0,0.0,24,1,6,23.0,1
"Solan","I","I",0.4025803147869911,0.597419685213009,24,1,10,23.0,1
"Kangra","I","I",0.0,1.0,25,1,3,24.0,1
"Hamirpur","I","I",0.23068758882778,0.7693124111722199,25,1,2,24.0,1
"Mandi","I","I",0.3105747322821596,0.6894252677178404,25,1,7,24.0,1
"Chamba","I","R",0.19766698877437297,0.8023330112256271,25,1,1,24.0,1
"Una","S","I",1.0,0.0,25,1,11,24.0,1
"Sirmaur","R","R",0.1232854992093031,0.8767145007906969,25,1,9,24.0,1
"Kullu","R","R",0.5579367818101647,0.44206321818983535,25,1,5,24.0,1
"Shimla","I","I",0.2643977919047812,0.7356022080952188,25,1,8,24.0,1
"Bilaspur","R","S",0.7223775122051672,0.27762248779483284,25,1,0,24.0,1
"Kinnaur","S","S",0.0,1.0,25,1,4,24.0,1
"Lahul-Spiti","S","I",0.8319076071698622,0.16809239283013783,25,1,6,24.0,1
"Solan","I","R",0.3835805066733725,0.6164194933266275,25,1,10,24.0,1
"Kangra","I","I",0.0,1.0,26,1,3,25.0,1
"Hamirpur","I","I",0.31906102445048756,0.6809389755495123,26,1,2,25.0,1
"Mandi","I","I",0.2236750103819145,0.7763249896180854,26,1,7,25.0,1
"Chamba","R","S",0.42342029194839326,0.5765797080516069,26,1,1,25.0,1
"Una","I","I",0.30038960697896994,0.69961039302103,26,1,11,25.0,1
"Sirmaur","R","S",0.5628807192950738,0.43711928070492634,26,1,9,25.0,1
"Kullu","S","I",0.44493229952179897,0.555067700478201,26,1,5,25.0,1
"Shimla","I","I",0.019316633687710274,0.9806833663122897,26,1,8,25.0,1
"Bilaspur","R","R",0.7720599995896268,0.22794000041037318,26,1,0,25.0,1
"Kinnaur","S","S",0.0,1.0,26,1,4,25.0,1
"Lahul-Spiti","S","I",0.7498374547423823,0.25016254525761766,26,1,6,25.0,1
"Solan","I","I",0.15455464151416407,0.8454453584858359,26,1,10,25.0,1
"Kangra","I","I",0.0,1.0,27,1,3,26.0,1
"Hamirpur","I","R",0.32423045925796085,0.6757695407420391,27,1,2,26.0,1
"Mandi","I","I",0.21560589003930739,0.7843941099606927,27,1,7,26.0,1
"Chamba","R","R",0.4354476763669893,0.5645523236330107,27,1,1,26.0,1
"Una","I","I",0.2802223471007765,0.7197776528992236,27,1,11,26.0,1
